"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"604","Pres Duterte is the only one who has real guts to fight drug crimes, graft and corruptions among influential politicians and their cronies.",FALSE,0,NA,2016-10-07 10:54:27,FALSE,NA,"784346142620291072",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","AldebaranEnterp",0,FALSE,FALSE,NA,NA
"605","Kakaiba talaga si Pres. Duterte",FALSE,0,NA,2016-10-07 10:53:53,FALSE,NA,"784345998676066304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Achurulyn",0,FALSE,FALSE,NA,NA
"606","Pres. Duterte: Extra-judicial killings? So how come there are deaths from government side, too? @gmanewsbreaking https://t.co/TT3vBX7Zuh",FALSE,2,NA,2016-10-07 10:52:47,FALSE,NA,"784345724603342848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cedric_castillo",0,FALSE,FALSE,NA,NA
"607","RT @rapplerdotcom: Use this ""report card"" to grade Pres. Duterte from A to F on each of the following ""subjects"". Comment your answers now!‚Ä¶",FALSE,0,NA,2016-10-07 10:52:11,FALSE,NA,"784345571205066752",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","RajeanQ",69,TRUE,FALSE,NA,NA
"608","RT @rapplerdotcom: Use this ""report card"" to grade Pres. Duterte from A to F on each of the following ""subjects"". Comment your answers now!‚Ä¶",FALSE,0,NA,2016-10-07 10:51:57,FALSE,NA,"784345513915146242",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ranelnino",69,TRUE,FALSE,NA,NA
"609","Pres. Duterte: (on drugs) as of today i lose of average of 2 policeman a day",FALSE,0,"dwiz882",2016-10-07 10:51:50,FALSE,"784345042072711168","784345483233796096","173533146","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dwiz882",0,FALSE,FALSE,NA,NA
"610","Here is a live stream for Pres. Rodrigo Duterte's speech on today's #GoNegosyoMentorMe launch in Davao (via RTVM). https://t.co/1pH6gKAoFQ",FALSE,0,NA,2016-10-07 10:51:49,FALSE,NA,"784345481203757056",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","letsgonegosyo",0,FALSE,FALSE,NA,NA
"611","RT @cedric_castillo: Pres. Duterte now at the Go Negosyo forum in downtown Davao City. @dzbb @gmanewsbreaking https://t.co/VVA6O0lNRr",FALSE,0,NA,2016-10-07 10:51:18,FALSE,NA,"784345349678731265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GladiolaGuadalu",5,TRUE,FALSE,NA,NA
"612","RT @JosephCataan: It's Pres. Duterte's first 100 Days. Ì†ΩÌ∫© Rate him.",FALSE,0,NA,2016-10-07 10:50:43,FALSE,NA,"784345202244800512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","francismagsajo",20,TRUE,FALSE,NA,NA
"613","#TV5Aksyon | Pres. Duterte, binigyan ang sarili ng gradong 65",FALSE,3,NA,2016-10-07 10:50:17,FALSE,NA,"784345095289974784",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","News5AKSYON",4,FALSE,FALSE,NA,NA
"614","Pres. Duterte: i have to stop corruption in government or else we will go nowhere",FALSE,3,"dwiz882",2016-10-07 10:50:05,FALSE,"784344411438133249","784345042072711168","173533146","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dwiz882",3,FALSE,FALSE,NA,NA
"615","RT @magister_ella: Pres. Mar Roxas and DILG Sec. De Lima? We dodged a narco bullet. God protected us from such an evil scenario. 
#NoToNarc‚Ä¶",FALSE,0,NA,2016-10-07 10:49:32,FALSE,NA,"784344904109469696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Daicey_annbee",10,TRUE,FALSE,NA,NA
"616","RT @ANCALERTS: ON THE PHONE: @jekkipascual reports on Pres. Duterte getting a perfect 10 from FINEX #MEWCY #100DaysOfDuterte https://t.co/d‚Ä¶",FALSE,0,NA,2016-10-07 10:48:33,FALSE,NA,"784344656838406144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamloui16",31,TRUE,FALSE,NA,NA
