"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"846","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 10:01:12,FALSE,NA,"784695127952326656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","willsolly",140,TRUE,FALSE,NA,NA
"847","RT @AP: In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,0,NA,2016-10-08 10:01:06,FALSE,NA,"784695104300810240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AishaPowell_",140,TRUE,FALSE,NA,NA
"848","#Honolulu #Hilo #Wailuku ‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte … https://t.co/8S1U7tpgHf",FALSE,0,NA,2016-10-08 10:00:50,FALSE,NA,"784695036919283712",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TLVRP_Hawaii",0,FALSE,FALSE,NA,NA
"849","In just 100 days in office, Philippine President Duterte has stirred a hornet's nest, at home and abroad. https://t.co/dwuKeHq2Yl",FALSE,124,NA,2016-10-08 10:00:24,FALSE,NA,"784694930073653248",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","AP",140,FALSE,FALSE,NA,NA
"850","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US   https://t.co/hAHF9NRra8",FALSE,0,NA,2016-10-08 10:00:18,FALSE,NA,"784694901636083713",NA,"<a href=""http://todolist.x10.mx"" rel=""nofollow"">Breaking Global News</a>","Global___News",0,FALSE,FALSE,NA,NA
"851","Trillanes Isinuko si Matobato dahil PALPAK ang Kanyang Nakuhang Witness Laban kay DDS ni President Rody Duterte... https://t.co/vGlE1quOiR",FALSE,1,NA,2016-10-08 10:00:02,FALSE,NA,"784694835475283968",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","RodyDuterte1",0,FALSE,FALSE,NA,NA
"852","And the Oscar goes to : President Duterte !! Congrats! ������������ you won the Pot!",FALSE,0,NA,2016-10-08 09:59:27,FALSE,NA,"784694690067148800",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","favourinaxcel",0,FALSE,FALSE,NA,NA
"853","RT @cnnphilippines: ""Unforgiving."" PNP Chief Ronald Dela Rosa reacts to a netizen's description of President Duterte's first 100 days. #Tow…",FALSE,0,NA,2016-10-08 09:58:50,FALSE,NA,"784694535523737600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bongyu_astig",15,TRUE,FALSE,NA,NA
"854","‘Do not treat us like a doormat, you’ll be sorry for it’ – Philippines President Duterte to US — RT News: https://t.co/VxzrqKYP6D",FALSE,0,NA,2016-10-08 09:58:43,FALSE,NA,"784694505173901312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pops131",0,FALSE,FALSE,NA,NA
"855","RT @EffetPap: Aux Philippines, le président Duterte a déclaré la guerre aux dealers et aux camés. 35 morts/jour depuis 3 mois. ➡️ https://t…",FALSE,0,NA,2016-10-08 09:57:56,FALSE,NA,"784694307399827456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TD_Garden",7,TRUE,FALSE,NA,NA
